"color","barrier","name","type","content","visible","width","size","alignment"
"","","Instr_welcome_text","text","This is Lumi. He will be teaching you about the language spoken on his planet. Say 'hi' to Lumi!","","","","center"
"","","Alien_greet_img","image","alien_say1.png","","70%","",""
"","","afcsurvey_Question2_text","text","Do you like me?","","","","center"
"","","afcsurvey_Question1_text","text","Is English your native language?","","","","center"
"","","Alien","image","alien_new.png","","70%","",""
"","","learn1Instr1_text","text","TBD. Learn 1","","","","center"
"","","ref_img","image","ref.png","","200px","",""
"","","tlakapo_text","text","tlakapo","","","2em","center"
"",false,"tlakapo_aud","audio","tlakapo.mp3",false,"","",""
"","","chef_img","image","chef.png","","200px","",""
"","","forpa_text","text","forpa","","","2em","center"
"",false,"forpa_aud","audio","forpa.mp3",false,"","",""
"","","bandit_img","image","bandit.png","","200px","",""
"","","kmodu_text","text","kmodu","","","2em","center"
"",false,"kmodu_aud","audio","kmodu.mp3",false,"","",""
"","","learn3Instr1_text","text","TBD. Learn 3.","","","","center"
"","","RefOnRedSkateboard_img","image","RefOnRedSkateboard.png","","200px","",""
"","","tlakapo_sool_redler_lanferda_text","text","tlakapo sool redler lanferda","","","2em","center"
"",false,"tlakapo_sool_redler_lanferda_aud","audio","tlakapo_sool_redler_lanferda.mp3",false,"","",""
"","","ChefUnderTable_img","image","ChefUnderTable.png","","200px","",""
"","","rizba_bod_forpa_text","text","rizba bod forpa","","","2em","center"
"",false,"rizba_bod_forpa_aud","audio","rizba_bod_forpa.mp3",false,"","",""
"","","understand1Instr1_text","text","TBD. Learn 1","","","","center"
"","","ref2_img","image","ref2.png","","200px","",""
"","","ref3_img","image","ref3.png","","200px","",""
"","","understand3Instr1_text","text","TBD. Learn 3.","","","","center"
"","","speak2Instr1_text","text","TBD. Learn 3.","","","","center"
"","","welcome1Instr1_text","text","Thank you for taking the test!","","","","center"
