"type","name","size","width","delay","content","color","alignment","barrier","visible"
"text","Instr_welcome_text","","","","This is Lumi. He will be teaching you about the language spoken on his planet. Say 'hi' to Lumi!","","center","",""
"image","Alien_greet_img","","70%","","alien_say1_harmony1.png","","","",""
"image","Alien","","70%","","alien_new_harmony1.png","","","",""
"text","learn1Instr1_text","","","","TBD. Learn 1","","center","",""
"image","ref_img","","200px","","ref_harmony1.png","","","",""
"text","tlakapo_text","2em","","","tlakapo","","center","",""
"audio","tlakapo_aud","","","","tlakapo_harmony1.mp3","","",false,false
"image","chef_img","","200px","","chef_harmony1.png","","","",""
"text","forpa_text","2em","","","forpa","","center","",""
"audio","forpa_aud","","","","forpa_harmony1.mp3","","",false,false
"image","bandit_img","","200px","","bandit_harmony1.png","","","",""
"text","kmodu_text","2em","","","kmodu","","center","",""
"audio","kmodu_aud","","","","kmodu_harmony1.mp3","","",false,false
"text","learn2Instr1_text","","","","TBD. Learn 2.","","center","",""
"video","ref_vid","","400px","","ref.mp4","","",false,""
"video","bandit_vid","","400px","","bandit.mp4","","",false,""
"text","learn3Instr1_text","","","","TBD. Learn 3.","","center","",""
"image","RefOnRedSkateboard_img","","200px","","RefOnRedSkateboard_harmony1.png","","","",""
"text","tlakapo_sool_redler_lanferda_text","2em","","","tlakapo sool redler lanferda","","center","",""
"audio","tlakapo_sool_redler_lanferda_aud","","","","tlakapo_sool_redler_lanferda_harmony1.mp3","","",false,false
"image","ChefUnderTable_img","","200px","","ChefUnderTable_harmony1.png","","","",""
"text","rizba_bod_forpa_text","2em","","","rizba bod forpa","","center","",""
"audio","rizba_bod_forpa_aud","","","","rizba_bod_forpa_harmony1.mp3","","",false,false
"text","learn4Instr1_text","","","","TBD. Learn 4","","center","",""
"video","ChefUnderTable1_vid","","400px","","ChefUnderTable1.mp4","","",false,""
"text","bod_rizba_forpa_text","2em","","","bod rizba forpa","","center","",""
"audio","bod_rizba_forpa_aud","","","","bod_rizba_forpa_harmony1.mp3","","",false,false
"video","ChefUnderTable2_vid","","400px","","ChefUnderTable2.mp4","","",false,""
"text","forpa_bod_rizba_text","2em","","","forpa bod rizba","","center","",""
"audio","forpa_bod_rizba_aud","","","","forpa_bod_rizba_harmony1.mp3","","",false,false
"video","ChefUnderTable3_vid","","400px","","ChefUnderTable3.mp4","","",false,""
"video","ChefUnderTable4_vid","","400px","","ChefUnderTable4.mp4","","",false,""
"text","forpa_rizba_bod_text","2em","","","forpa rizba bod","","center","",""
"audio","forpa_rizba_bod_aud","","","","forpa_rizba_bod_harmony1.mp3","","",false,false
"image","chef_bandit_tap1_img","","200px","","chef_bandit_tap1_harmony1.png","","","",""
"text","forpa_kmodu_fsel_text","2em","","","forpa kmodu fsel","","center","",""
"audio","forpa_kmodu_fsel_aud","","","","forpa_kmodu_fsel_harmony1.mp3","","",false,false
"image","chef_bandit_tap2_img","","200px","","chef_bandit_tap2_harmony1.png","","","",""
"text","forpaka_fsel_kmodu_text","2em","","","forpaka fsel kmodu","","center","",""
"audio","forpaka_fsel_kmodu_aud","","","","forpaka_fsel_kmodu_harmony1.mp3","","",false,false
"image","chef_bandit_tap3_img","","200px","","chef_bandit_tap3_harmony1.png","","","",""
"text","fsel_forpa_pokmodu_text","2em","","","fsel forpa pokmodu","","center","",""
"audio","fsel_forpa_pokmodu_aud","","","","fsel_forpa_pokmodu_harmony1.mp3","","",false,false
"image","chef_bandit_tap4_img","","200px","","chef_bandit_tap4_harmony1.png","","","",""
"text","kuvfsel_kmodu_tusforpa_text","2em","","","kuvfsel kmodu tusforpa","","center","",""
"audio","kuvfsel_kmodu_tusforpa_aud","","","","kuvfsel_kmodu_tusforpa_harmony1.mp3","","",false,false
"image","chef_bandit_tap5_img","","200px","","chef_bandit_tap5_harmony1.png","","","",""
"text","kmodupoo_forpa_fsellav_text","2em","","","kmodupoo forpa fsellav","","center","",""
"audio","kmodupoo_forpa_fsellav_aud","","","","kmodupoo_forpa_fsellav_harmony1.mp3","","",false,false
"image","chef_bandit_tap6_img","","200px","","chef_bandit_tap6_harmony1.png","","","",""
"text","kmoduhao_fsel_forpakas_text","2em","","","kmoduhao fsel forpakas","","center","",""
"audio","kmoduhao_fsel_forpakas_aud","","","","kmoduhao_fsel_forpakas_harmony1.mp3","","",false,false
"image","refOnRedSkateboard_banditNexttoBlueSkateboard_tap1_img","","200px","","refOnRedSkateboard_banditNexttoBlueSkateboard_tap1_harmony1.png","","","",""
"text","sool_redler_lanferda_tlakapo_bod_blook_lanferda_kmodu_fsel_text","2em","","","sool redler lanferda tlakapo bod blook lanferda kmodu fsel","","center","",""
"audio","sool_redler_lanferda_tlakapo_bod_blook_lanferda_kmodu_fsel_aud","","","","sool_redler_lanferda_tlakapo_bod_blook_lanferda_kmodu_fsel_harmony1.mp3","","",false,false
"image","refOnRedSkateboard_banditNexttoBlueSkateboard_tap2_img","","200px","","refOnRedSkateboard_banditNexttoBlueSkateboard_tap2_harmony1.png","","","",""
"text","tlakapoka_sool_redler_lanferda_fsel_kmodu_bod_blook_lanferda_text","2em","","","tlakapoka sool redler lanferda fsel kmodu bod blook lanferda","","center","",""
